,n_rep,num_qubits,method,h,s,cx,depth,cx_depth
0,0,3,ours,4,9,4,12,4
1,0,3,Peham et. al. (optimal),6,12,4,10,4
2,0,3,Maslov et al. (qiskit),8,39,17,38,17
3,0,3,Bravyi et al. (qiskit),11,21,4,22,4
4,1,3,ours,5,9,4,10,4
5,1,3,Peham et. al. (optimal),4,12,5,10,5
6,1,3,Maslov et al. (qiskit),6,19,20,36,20
7,1,3,Bravyi et al. (qiskit),11,25,4,22,4
8,2,3,ours,8,4,6,10,6
9,2,3,Peham et. al. (optimal),6,9,4,10,4
10,2,3,Maslov et al. (qiskit),6,29,21,40,21
11,2,3,Bravyi et al. (qiskit),9,17,3,14,3
12,3,3,ours,4,7,3,8,3
13,3,3,Peham et. al. (optimal),6,13,3,10,3
14,3,3,Maslov et al. (qiskit),6,22,20,36,20
15,3,3,Bravyi et al. (qiskit),9,16,3,12,3
16,4,3,ours,9,12,5,16,5
17,4,3,Peham et. al. (optimal),1,5,5,7,5
18,4,3,Maslov et al. (qiskit),5,20,20,34,20
19,4,3,Bravyi et al. (qiskit),9,19,4,22,4
20,5,3,ours,7,12,5,16,5
21,5,3,Peham et. al. (optimal),5,7,4,9,4
22,5,3,Maslov et al. (qiskit),5,31,16,33,16
23,5,3,Bravyi et al. (qiskit),9,28,3,20,3
24,6,3,ours,4,9,4,15,4
25,6,3,Peham et. al. (optimal),0,2,5,5,5
26,6,3,Maslov et al. (qiskit),6,10,20,31,20
27,6,3,Bravyi et al. (qiskit),6,15,4,13,4
28,7,3,ours,8,15,3,18,3
29,7,3,Peham et. al. (optimal),6,8,5,9,5
30,7,3,Maslov et al. (qiskit),7,26,18,36,18
31,7,3,Bravyi et al. (qiskit),7,20,3,18,3
32,8,3,ours,7,10,6,17,6
33,8,3,Peham et. al. (optimal),4,12,3,9,3
34,8,3,Maslov et al. (qiskit),5,33,17,40,17
35,8,3,Bravyi et al. (qiskit),11,23,3,20,3
36,9,3,ours,6,10,3,11,3
37,9,3,Peham et. al. (optimal),7,11,3,11,3
38,9,3,Maslov et al. (qiskit),5,31,20,37,20
39,9,3,Bravyi et al. (qiskit),8,14,3,18,3
40,10,3,ours,3,11,3,11,3
41,10,3,Peham et. al. (optimal),5,13,4,14,4
42,10,3,Maslov et al. (qiskit),7,34,19,38,19
43,10,3,Bravyi et al. (qiskit),9,19,3,13,3
44,11,3,ours,6,8,4,13,4
45,11,3,Peham et. al. (optimal),6,6,5,8,5
46,11,3,Maslov et al. (qiskit),4,10,17,24,17
47,11,3,Bravyi et al. (qiskit),8,20,4,16,4
48,12,3,ours,7,13,6,15,6
49,12,3,Peham et. al. (optimal),5,16,4,15,4
50,12,3,Maslov et al. (qiskit),9,26,19,36,19
51,12,3,Bravyi et al. (qiskit),10,20,4,18,4
52,13,3,ours,3,11,8,17,8
53,13,3,Peham et. al. (optimal),3,14,5,11,5
54,13,3,Maslov et al. (qiskit),5,35,22,40,22
55,13,3,Bravyi et al. (qiskit),8,23,3,20,3
56,14,3,ours,7,13,6,16,6
57,14,3,Peham et. al. (optimal),2,3,3,5,3
58,14,3,Maslov et al. (qiskit),4,20,17,31,17
59,14,3,Bravyi et al. (qiskit),10,17,3,18,3
60,15,3,ours,12,19,6,21,6
61,15,3,Peham et. al. (optimal),6,8,4,12,4
62,15,3,Maslov et al. (qiskit),7,28,17,35,17
63,15,3,Bravyi et al. (qiskit),7,22,4,18,4
64,16,3,ours,10,6,6,16,6
65,16,3,Peham et. al. (optimal),4,9,2,7,2
66,16,3,Maslov et al. (qiskit),9,22,21,34,21
67,16,3,Bravyi et al. (qiskit),5,12,2,11,2
68,17,3,ours,6,10,5,17,5
69,17,3,Peham et. al. (optimal),6,12,5,12,5
70,17,3,Maslov et al. (qiskit),6,30,16,36,16
71,17,3,Bravyi et al. (qiskit),8,21,3,21,3
72,18,3,ours,4,12,5,13,5
73,18,3,Peham et. al. (optimal),3,12,5,11,5
74,18,3,Maslov et al. (qiskit),6,17,17,30,17
75,18,3,Bravyi et al. (qiskit),8,14,4,16,4
76,19,3,ours,12,17,5,19,5
77,19,3,Peham et. al. (optimal),4,8,5,9,5
78,19,3,Maslov et al. (qiskit),10,23,18,34,18
79,19,3,Bravyi et al. (qiskit),6,14,4,12,4
