,n_rep,num_qubits,method,h,s,cx,depth,cx_depth
0,0,4,ours,8,9,12,25,12
1,0,4,Peham et. al. (optimal),21,7,14,25,12
2,0,4,Maslov et al. (qiskit),6,34,36,43,25
3,0,4,Bravyi et al. (qiskit),20,5,11,20,8
4,1,4,ours,15,19,9,23,8
5,1,4,Peham et. al. (optimal),28,7,16,31,14
6,1,4,Maslov et al. (qiskit),10,40,38,47,26
7,1,4,Bravyi et al. (qiskit),28,12,16,39,16
8,2,4,ours,10,15,14,23,11
9,2,4,Peham et. al. (optimal),22,14,13,29,11
10,2,4,Maslov et al. (qiskit),8,38,36,43,25
11,2,4,Bravyi et al. (qiskit),46,11,28,56,26
12,3,4,ours,15,24,12,22,11
13,3,4,Peham et. al. (optimal),32,16,18,29,13
14,3,4,Maslov et al. (qiskit),10,32,41,47,29
15,3,4,Bravyi et al. (qiskit),38,12,23,45,20
16,4,4,ours,13,21,12,24,10
17,4,4,Peham et. al. (optimal),18,15,14,23,9
18,4,4,Maslov et al. (qiskit),8,40,37,52,27
19,4,4,Bravyi et al. (qiskit),42,10,24,47,21
20,5,4,ours,10,10,9,18,8
21,5,4,Peham et. al. (optimal),25,19,12,27,11
22,5,4,Maslov et al. (qiskit),8,40,36,48,26
23,5,4,Bravyi et al. (qiskit),25,14,12,34,12
24,6,4,ours,14,20,10,24,9
25,6,4,Peham et. al. (optimal),31,10,18,27,12
26,6,4,Maslov et al. (qiskit),8,48,29,43,20
27,6,4,Bravyi et al. (qiskit),37,11,21,40,16
28,7,4,ours,11,19,10,21,10
29,7,4,Peham et. al. (optimal),27,18,16,26,11
30,7,4,Maslov et al. (qiskit),5,53,33,47,24
31,7,4,Bravyi et al. (qiskit),34,16,19,49,19
32,8,4,ours,14,15,10,23,10
33,8,4,Peham et. al. (optimal),28,15,16,35,14
34,8,4,Maslov et al. (qiskit),9,43,37,49,26
35,8,4,Bravyi et al. (qiskit),31,9,17,40,17
36,9,4,ours,12,12,11,22,10
37,9,4,Peham et. al. (optimal),28,13,15,24,12
38,9,4,Maslov et al. (qiskit),10,29,31,41,22
39,9,4,Bravyi et al. (qiskit),37,11,19,41,16
40,10,4,ours,11,21,12,24,11
41,10,4,Peham et. al. (optimal),25,13,17,33,15
42,10,4,Maslov et al. (qiskit),9,49,39,50,26
43,10,4,Bravyi et al. (qiskit),35,21,20,46,17
44,11,4,ours,13,19,12,26,11
45,11,4,Peham et. al. (optimal),30,16,17,29,11
46,11,4,Maslov et al. (qiskit),6,39,38,44,27
47,11,4,Bravyi et al. (qiskit),46,17,26,59,25
48,12,4,ours,9,15,10,23,8
49,12,4,Peham et. al. (optimal),26,12,18,26,13
50,12,4,Maslov et al. (qiskit),8,42,38,47,27
51,12,4,Bravyi et al. (qiskit),38,22,20,47,18
52,13,4,ours,13,12,10,19,9
53,13,4,Peham et. al. (optimal),19,15,10,23,8
54,13,4,Maslov et al. (qiskit),9,49,32,47,22
55,13,4,Bravyi et al. (qiskit),41,7,23,40,19
56,14,4,ours,16,19,13,25,12
57,14,4,Peham et. al. (optimal),23,11,15,24,13
58,14,4,Maslov et al. (qiskit),8,40,31,43,21
59,14,4,Bravyi et al. (qiskit),34,15,19,46,17
60,15,4,ours,11,20,11,24,11
61,15,4,Peham et. al. (optimal),27,8,20,28,15
62,15,4,Maslov et al. (qiskit),10,41,38,46,26
63,15,4,Bravyi et al. (qiskit),37,18,20,42,17
64,16,4,ours,12,16,8,22,7
65,16,4,Peham et. al. (optimal),14,10,10,17,9
66,16,4,Maslov et al. (qiskit),8,44,42,53,28
67,16,4,Bravyi et al. (qiskit),36,13,22,46,20
68,17,4,ours,13,14,10,26,10
69,17,4,Peham et. al. (optimal),26,13,14,27,9
70,17,4,Maslov et al. (qiskit),11,42,34,43,24
71,17,4,Bravyi et al. (qiskit),44,11,24,49,21
72,18,4,ours,17,19,10,24,9
73,18,4,Peham et. al. (optimal),19,20,13,25,8
74,18,4,Maslov et al. (qiskit),13,45,38,47,27
75,18,4,Bravyi et al. (qiskit),29,10,17,35,15
76,19,4,ours,13,15,10,22,9
77,19,4,Peham et. al. (optimal),26,13,17,32,15
78,19,4,Maslov et al. (qiskit),13,36,35,44,24
79,19,4,Bravyi et al. (qiskit),46,18,23,49,19
